scenario_b,ts,region,DEV_dis_sl_kW
1,1,1,495.665346
1,1,2,1111.592379
1,1,3,723.312378
1,2,1,636.067239
1,2,2,1152.762900
1,2,3,667.790331
1,3,1,505.399899
1,3,2,568.765656
1,3,3,562.079211
1,4,1,654.274632
1,4,2,527.953800
1,4,3,1061.769972
2,1,1,517.021893
2,1,2,714.656760
2,1,3,976.103316
2,2,1,874.836219
2,2,2,681.451320
2,2,3,558.084471
2,3,1,702.759174
2,3,2,842.045625
2,3,3,901.233783
2,4,1,559.660806
2,4,2,649.462959
2,4,3,466.399260
3,1,1,521.313597
3,1,2,1095.338634
3,1,3,609.169965
3,2,1,360.535254
3,2,2,1086.652731
3,2,3,593.714208
3,3,1,558.824712
3,3,2,474.363756
3,3,3,712.666965
3,4,1,494.150826
3,4,2,692.719038
3,4,3,1017.817989
4,1,1,726.580344
4,1,2,445.153746
4,1,3,803.636595
4,2,1,472.347492
4,2,2,650.446059
4,2,3,588.310713
4,3,1,642.239811
4,3,2,524.153598
4,3,3,766.936257
4,4,1,697.796031
4,4,2,1116.179586
4,4,3,1250.394300
5,1,1,798.377100
5,1,2,918.433341
5,1,3,520.043487
5,2,1,475.135710
5,2,2,651.180864
5,2,3,597.681081
5,3,1,492.894354
5,3,2,829.399026
5,3,3,576.505773
5,4,1,645.352245
5,4,2,761.295288
5,4,3,768.198579
6,1,1,807.296196
6,1,2,642.046029
6,1,3,925.081722
6,2,1,577.547070
6,2,2,558.091782
6,2,3,682.967430
6,3,1,588.798576
6,3,2,968.825628
6,3,3,813.138975
6,4,1,1064.162586
6,4,2,770.289270
6,4,3,700.304502
7,1,1,707.334294
7,1,2,969.574137
7,1,3,630.657978
7,2,1,584.749011
7,2,2,800.507676
7,2,3,810.837387
7,3,1,418.601259
7,3,2,744.113253
7,3,3,694.550994
7,4,1,579.651483
7,4,2,1055.393481
7,4,3,826.666176
8,1,1,958.962558
8,1,2,685.932042
8,1,3,553.529544
8,2,1,629.602203
8,2,2,535.972590
8,2,3,741.908877
8,3,1,777.905973
8,3,2,671.108823
8,3,3,659.211123
8,4,1,1056.311964
8,4,2,790.126455
8,4,3,1044.403854
9,1,1,516.527676
9,1,2,1032.411165
9,1,3,767.222685
9,2,1,364.408116
9,2,2,901.300125
9,2,3,516.457782
9,3,1,524.347716
9,3,2,817.357809
9,3,3,753.843630
9,4,1,593.953464
9,4,2,806.272845
9,4,3,461.275803
10,1,1,702.526134
10,1,2,779.267886
10,1,3,837.473307
10,2,1,685.220190
10,2,2,565.811712
10,2,3,882.605451
10,3,1,852.965796
10,3,2,716.998875
10,3,3,642.950379
10,4,1,695.027883
10,4,2,765.861939
10,4,3,974.404686
