scenario_a,t,region,DEV_ch_sl_kW
1,1,1,456.167307
1,1,2,494.693457
1,1,3,633.878373
1,2,1,622.980888
1,2,2,575.330406
1,2,3,850.036494
1,3,1,447.189909
1,3,2,445.279719
1,3,3,641.311569
1,4,1,666.671739
1,4,2,393.875598
1,4,3,799.015260
1,5,1,435.248898
1,5,2,395.258409
1,5,3,653.640222
1,6,1,486.446466
1,6,2,484.385013
1,6,3,541.925691
1,7,1,695.631363
1,7,2,511.817052
1,7,3,393.350091
1,8,1,490.340454
1,8,2,496.906143
1,8,3,518.703630
1,9,1,457.780818
1,9,2,536.021061
1,9,3,865.156800
1,10,1,550.221849
1,10,2,320.230482
1,10,3,482.783886
1,11,1,350.631786
1,11,2,274.506087
1,11,3,368.510526
1,12,1,332.740299
1,12,2,353.409426
1,12,3,476.567304
1,13,1,294.167874
1,13,2,356.388108
1,13,3,433.921395
1,14,1,409.406064
1,14,2,414.113301
1,14,3,530.121108
1,15,1,499.680276
1,15,2,501.508710
1,15,3,450.487263
1,16,1,390.897705
1,16,2,448.094079
1,16,3,720.645519
1,17,1,581.001390
1,17,2,324.506211
1,17,3,398.797815
1,18,1,324.490746
1,18,2,310.888881
1,18,3,494.840625
1,19,1,700.477494
1,19,2,498.267099
1,19,3,559.339068
1,20,1,344.042844
1,20,2,671.572800
1,20,3,620.678037
1,21,1,399.562263
1,21,2,331.557378
1,21,3,572.998740
1,22,1,488.013984
1,22,2,465.854508
1,22,3,627.228984
1,23,1,434.595564
1,23,2,478.645494
1,23,3,490.623636
1,24,1,441.641124
1,24,2,427.904364
1,24,3,980.553600
2,1,1,392.075826
2,1,2,579.440283
2,1,3,469.021350
2,2,1,590.742534
2,2,2,454.769436
2,2,3,795.192573
2,3,1,527.846973
2,3,2,423.586935
2,3,3,445.584840
2,4,1,340.399443
2,4,2,328.793631
2,4,3,667.849875
2,5,1,364.105788
2,5,2,320.478633
2,5,3,552.596826
2,6,1,551.949690
2,6,2,570.623547
2,6,3,522.926103
2,7,1,525.789945
2,7,2,541.363422
2,7,3,637.762389
2,8,1,787.300722
2,8,2,369.600537
2,8,3,406.054272
2,9,1,600.030384
2,9,2,304.410786
2,9,3,531.675132
2,10,1,712.845861
2,10,2,330.177000
2,10,3,575.805051
2,11,1,429.110025
2,11,2,349.564593
2,11,3,343.649853
2,12,1,506.508018
2,12,2,241.156620
2,12,3,617.348931
2,13,1,452.427048
2,13,2,326.982111
2,13,3,631.539408
2,14,1,375.838503
2,14,2,356.047734
2,14,3,633.302646
2,15,1,480.869505
2,15,2,276.749013
2,15,3,448.976508
2,16,1,413.192694
2,16,2,320.716260
2,16,3,387.727686
2,17,1,281.925189
2,17,2,417.787095
2,17,3,522.713346
2,18,1,316.753161
2,18,2,385.681233
2,18,3,363.535254
2,19,1,523.904184
2,19,2,387.054201
2,19,3,671.119962
2,20,1,474.427134
2,20,2,423.109287
2,20,3,569.100792
2,21,1,473.822256
2,21,2,560.831904
2,21,3,596.127123
2,22,1,476.939655
2,22,2,506.598885
2,22,3,607.553607
2,23,1,559.728897
2,23,2,432.241602
2,23,3,710.867067
2,24,1,388.581870
2,24,2,591.417555
2,24,3,640.855080
3,1,1,545.197680
3,1,2,465.587676
3,1,3,491.128428
3,2,1,590.104668
3,2,2,555.476730
3,2,3,500.160174
3,3,1,503.073090
3,3,2,680.603499
3,3,3,791.331090
3,4,1,529.254333
3,4,2,441.494319
3,4,3,536.038854
3,5,1,477.770871
3,5,2,469.241604
3,5,3,790.932087
3,6,1,515.139444
3,6,2,461.501322
3,6,3,613.422804
3,7,1,595.205859
3,7,2,327.557565
3,7,3,692.142825
3,8,1,569.449119
3,8,2,478.284582
