scenario_b,ts,region,DEV_dis_sl_kW
1,1,1,247.832673
1,1,2,555.796190
1,1,3,361.656189
1,2,1,318.033619
1,2,2,576.381450
1,2,3,333.895166
1,3,1,252.699950
1,3,2,284.382828
1,3,3,281.039605
1,4,1,327.137316
1,4,2,263.976900
1,4,3,530.884986
2,1,1,258.510946
2,1,2,357.328380
2,1,3,488.051658
2,2,1,437.418110
2,2,2,340.725660
2,2,3,279.042236
2,3,1,351.379587
2,3,2,421.022812
2,3,3,450.616892
2,4,1,279.830403
2,4,2,324.731479
2,4,3,233.199630
3,1,1,260.656798
3,1,2,547.669317
3,1,3,304.584983
3,2,1,180.267627
3,2,2,543.326366
3,2,3,296.857104
3,3,1,279.412356
3,3,2,237.181878
3,3,3,356.333483
3,4,1,247.075413
3,4,2,346.359519
3,4,3,508.908995
4,1,1,363.290172
4,1,2,222.576873
4,1,3,401.818298
4,2,1,236.173746
4,2,2,325.223029
4,2,3,294.155356
4,3,1,321.119906
4,3,2,262.076799
4,3,3,383.468129
4,4,1,348.898016
4,4,2,558.089793
4,4,3,625.197150
5,1,1,399.188550
5,1,2,459.216671
5,1,3,260.021743
5,2,1,237.567855
5,2,2,325.590432
5,2,3,298.840540
5,3,1,246.447177
5,3,2,414.699513
5,3,3,288.252886
5,4,1,322.676123
5,4,2,380.647644
5,4,3,384.099289
6,1,1,403.648098
6,1,2,321.023014
6,1,3,462.540861
6,2,1,288.773535
6,2,2,279.045891
6,2,3,341.483715
6,3,1,294.399288
6,3,2,484.412814
6,3,3,406.569488
6,4,1,532.081293
6,4,2,385.144635
6,4,3,350.152251
7,1,1,353.667147
7,1,2,484.787068
7,1,3,315.328989
7,2,1,292.374505
7,2,2,400.253838
7,2,3,405.418694
7,3,1,209.300629
7,3,2,372.056626
7,3,3,347.275497
7,4,1,289.825741
7,4,2,527.696741
7,4,3,413.333088
8,1,1,479.481279
8,1,2,342.966021
8,1,3,276.764772
8,2,1,314.801102
8,2,2,267.986295
8,2,3,370.954438
8,3,1,388.952986
8,3,2,335.554412
8,3,3,329.605562
8,4,1,528.155982
8,4,2,395.063228
8,4,3,522.201927
9,1,1,258.263838
9,1,2,516.205582
9,1,3,383.611342
9,2,1,182.204058
9,2,2,450.650062
9,2,3,258.228891
9,3,1,262.173858
9,3,2,408.678905
9,3,3,376.921815
9,4,1,296.976732
9,4,2,403.136422
9,4,3,230.637901
10,1,1,351.263067
10,1,2,389.633943
10,1,3,418.736653
10,2,1,342.610095
10,2,2,282.905856
10,2,3,441.302726
10,3,1,426.482898
10,3,2,358.499437
10,3,3,321.475189
10,4,1,347.513941
10,4,2,382.930970
10,4,3,487.202343
