scenario_a,t,region,DEV_ch_sl_kW
1,1,1,228.083653
1,1,2,247.346728
1,1,3,316.939187
1,2,1,311.490444
1,2,2,287.665203
1,2,3,425.018247
1,3,1,223.594954
1,3,2,222.639860
1,3,3,320.655784
1,4,1,333.335870
1,4,2,196.937799
1,4,3,399.507630
1,5,1,217.624449
1,5,2,197.629205
1,5,3,326.820111
1,6,1,243.223233
1,6,2,242.192506
1,6,3,270.962846
1,7,1,347.815681
1,7,2,255.908526
1,7,3,196.675045
1,8,1,245.170227
1,8,2,248.453071
1,8,3,259.351815
1,9,1,228.890409
1,9,2,268.010531
1,9,3,432.578400
1,10,1,275.110925
1,10,2,160.115241
1,10,3,241.391943
1,11,1,175.315893
1,11,2,137.253043
1,11,3,184.255263
1,12,1,166.370149
1,12,2,176.704713
1,12,3,238.283652
1,13,1,147.083937
1,13,2,178.194054
1,13,3,216.960698
1,14,1,204.703032
1,14,2,207.056650
1,14,3,265.060554
1,15,1,249.840138
1,15,2,250.754355
1,15,3,225.243631
1,16,1,195.448853
1,16,2,224.047039
1,16,3,360.322759
1,17,1,290.500695
1,17,2,162.253106
1,17,3,199.398908
1,18,1,162.245373
1,18,2,155.444440
1,18,3,247.420313
1,19,1,350.238747
1,19,2,249.133550
1,19,3,279.669534
1,20,1,172.021422
1,20,2,335.786400
1,20,3,310.339018
1,21,1,199.781132
1,21,2,165.778689
1,21,3,286.499370
1,22,1,244.006992
1,22,2,232.927254
1,22,3,313.614492
1,23,1,217.297782
1,23,2,239.322747
1,23,3,245.311818
1,24,1,220.820562
1,24,2,213.952182
1,24,3,490.276800
2,1,1,196.037913
2,1,2,289.720142
2,1,3,234.510675
2,2,1,295.371267
2,2,2,227.384718
2,2,3,397.596287
2,3,1,263.923487
2,3,2,211.793468
2,3,3,222.792420
2,4,1,170.199722
2,4,2,164.396816
2,4,3,333.924937
2,5,1,182.052894
2,5,2,160.239317
2,5,3,276.298413
2,6,1,275.974845
2,6,2,285.311774
2,6,3,261.463052
2,7,1,262.894972
2,7,2,270.681711
